ANONYMIZED BUSINESS,QUANTITY,VALUE
Business-978e,13991,4976687.0
Business-0e5b,4289,4374082.0
Business-e672,3242,3607209.0
Business-dbce,2458,3485759.0
Business-6068,8214,3407380.0
Business-63d9,2212,3113536.0
Business-07de,6065,3023871.0
Business-6f3b,1834,2904260.0
Business-f4f4,3852,2901220.0
Business-4fee,2036,2817747.0
Business-fef1,1864,2782347.0
Business-d72e,3835,2747470.0
Business-1696,1681,2680693.0
Business-1ddc,1721,2638244.0
Business-610c,3092,2633037.0
Business-80b3,4303,2612746.0
Business-fe7d,6743,2600735.0
Business-c1e3,1941,2594041.0
Business-4133,1013,2587506.0
Business-e000,1443,2572332.0
Business-7a03,6318,2543926.0
Business-8bbf,1098,2543776.0
Business-a68c,3198,2445156.0
Business-0d61,2845,2380095.0
Business-8d3c,1889,2370452.0
Business-a641,1281,2357383.0
Business-2eba,2619,2344524.0
Business-7ab4,1406,2340886.0
Business-29bc,1868,2115309.0
Business-d81e,2521,2114420.0
Business-4305,1516,2105466.0
Business-e2bb,1900,2096797.0
Business-f3f6,1998,2074965.0
Business-3d8c,1138,2070587.0
Business-bb8c,1429,2061902.0
Business-6011,1324,2054605.0
Business-5613,4089,2037734.0
Business-cb1f,4636,2032885.0
Business-755c,1233,2015657.0
Business-3bf0,1280,2014226.0
Business-e268,2017,2003820.0
Business-48f6,1591,1993328.0
Business-5fc7,1546,1974283.0
Business-ba13,5533,1939899.0
Business-1886,1448,1934327.0
Business-1ae8,2028,1911337.0
Business-a8bd,3494,1873950.0
Business-aad4,997,1873716.0
Business-f1d2,801,1865872.0
Business-6162,1234,1854931.0
Business-3dfc,1204,1832491.0
Business-f17a,1274,1814563.0
Business-31f8,774,1810226.0
Business-a3fe,1297,1777866.0
Business-43c3,972,1772609.0
Business-3539,977,1771141.0
Business-5415,1261,1770287.0
Business-18f1,1312,1716527.0
Business-258b,1198,1705270.0
Business-8c9c,1034,1690917.0
Business-e997,1149,1665199.0
Business-912c,1050,1665167.0
Business-b5f0,1205,1664414.0
Business-ce15,931,1659186.0
Business-b04e,1483,1657410.0
Business-cd1c,1536,1653765.0
Business-898c,764,1651902.0
Business-9540,1496,1633957.0
Business-6cc2,1361,1629511.0
Business-ef78,880,1616511.0
Business-3edd,953,1603786.0
Business-e8d5,1242,1582823.0
Business-aac2,1032,1577334.0
Business-de42,1408,1570588.0
Business-f749,1435,1570265.0
Business-838f,1802,1560650.0
Business-fac0,797,1543751.0
Business-2e23,873,1538268.0
Business-3215,3495,1519839.0
Business-2672,761,1513562.0
Business-d042,1489,1499991.0
Business-2130,623,1487167.0
Business-d2b6,1001,1487032.0
Business-468e,5450,1483889.0
Business-1f55,3048,1478959.0
Business-8f8d,834,1474119.0
Business-a8da,1916,1466435.0
Business-a8d7,825,1460335.0
Business-64b6,640,1458517.0
Business-b844,718,1458256.0
Business-c774,1100,1453879.0
Business-98e4,846,1447815.0
Business-926b,1092,1447406.0
Business-5677,776,1441885.0
Business-5477,2596,1440827.0
Business-3f6c,636,1429989.0
Business-ec8b,3170,1406886.0
Business-700f,779,1404282.0
Business-0e56,765,1399977.0
Business-5feb,2072,1387107.0
Business-ae7c,843,1378974.0
Business-2a83,899,1369203.0
Business-d963,959,1351915.0
Business-9657,2106,1345244.0
Business-089e,1076,1325354.0
Business-9239,1162,1320325.0
Business-a658,1326,1318114.0
Business-155f,2290,1309624.0
Business-0523,1305,1305398.0
Business-15bc,1025,1300400.0
Business-0c98,791,1297312.0
Business-28e1,680,1286610.0
Business-7d7e,1096,1285431.0
Business-a4fe,1500,1281486.0
Business-fba5,1017,1272377.0
Business-2482,1090,1266828.0
Business-2366,781,1260426.0
Business-dc0b,1074,1259647.0
Business-3280,815,1259528.0
Business-1ede,990,1236228.0
Business-8513,841,1235911.0
Business-245e,1057,1228065.0
Business-8fae,793,1227263.0
Business-a8db,2167,1226636.0
Business-9baf,1674,1226519.0
Business-8647,1155,1222998.0
Business-9b3a,1075,1207809.0
Business-fe8f,665,1202749.0
Business-a171,695,1201609.0
Business-85ca,1346,1199639.0
Business-1f42,620,1194744.0
Business-10e2,1213,1194050.0
Business-daff,823,1192897.0
Business-7d81,583,1192043.0
Business-8b4f,684,1189735.0
Business-1d95,644,1183271.0
Business-bab3,1365,1179861.0
Business-77fa,806,1176801.0
Business-24c3,1581,1174010.0
Business-260e,1198,1163147.0
Business-70c4,566,1156407.0
Business-78a8,2367,1151869.0
Business-d500,549,1151424.0
Business-5aa4,692,1149097.0
Business-e0ec,745,1148665.0
Business-cc1e,871,1142082.0
