ANONYMIZED CATEGORY,QUANTITY,VALUE
Category-76,71719,198499343.0
Category-75,151330,181554632.0
Category-120,169715,115506421.0
Category-119,68332,48102774.0
Category-77,28455,36277127.0
Category-91,20853,35729823.0
Category-100,76824,30783426.0
Category-85,22997,20550056.0
Category-101,19585,12227597.0
Category-121,14669,12183700.0
Category-94,23670,7956716.0
Category-92,6954,7514425.0
Category-78,9766,6562538.0
Category-95,4117,5718656.0
Category-84,11933,5045168.0
Category-106,6521,4566978.0
Category-110,10529,4215429.0
Category-83,2436,3508646.0
Category-111,6715,3385923.0
Category-107,2730,3228058.0
Category-108,9756,3038145.0
Category-97,2711,2210569.0
Category-105,1579,2121947.0
Category-82,4759,2068732.0
Category-96,1427,1922663.0
Category-98,2152,1886465.0
Category-122,1226,1632250.0
Category-104,1217,1278629.0
Category-99,1964,1177415.0
Category-79,2216,933376.0
Category-109,1446,806716.0
Category-113,741,732152.0
Category-123,286,452130.0
Category-115,348,341490.0
Category-116,856,337330.0
Category-74,941,316119.0
Category-102,1786,270769.0
Category-125,123,152310.0
Category-89,238,101200.0
Category-81,142,52313.0
Category-90,15,15750.0
Category-114,4,10440.0
Category-124,4,10060.0
Category-118,21,5040.0
Category-86,8,2990.0
Category-117,5,1240.0
