DATE,ANONYMIZED CATEGORY,ANONYMIZED PRODUCT,ANONYMIZED BUSINESS,ANONYMIZED LOCATION,QUANTITY,VALUE,Month-Year,is_balanced
2024-01-01 13:24:00,Category-100,Product-b9c9,Business-75fe,Location-f21b,5,2160.0,January 2024,
2024-01-01 15:30:00,Category-100,Product-392e,Business-1e3e,Location-03fc,50,1696.0,January 2024,
2024-01-01 15:30:00,Category-75,Product-570b,Business-3112,Location-d32a,1,4334.0,January 2024,
2024-01-01 15:30:00,Category-120,Product-29ee,Business-1e3e,Location-03fc,100,2120.0,January 2024,
2024-01-01 15:51:00,Category-120,Product-3050,Business-c206,Location-689f,6,2120.0,January 2024,
2024-01-01 15:59:00,Category-120,Product-1e80,Business-71ac,Location-689f,1,2150.0,January 2024,
2024-01-01 16:02:00,Category-75,Product-086d,Business-80b3,Location-f37d,15,2185.0,January 2024,
2024-01-01 16:32:00,Category-76,Product-e805,Business-5613,Location-3e32,7,7580.0,January 2024,
2024-01-01 16:44:00,Category-75,Product-2175,Business-5a29,Location-e5b0,8,4365.0,January 2024,
2024-01-01 16:47:00,Category-76,Product-e805,Business-b412,Location-4ea1,5,7580.0,January 2024,
2024-01-01 17:04:00,Category-76,Product-e805,Business-59a0,Location-689f,6,7580.0,January 2024,
2024-01-01 17:04:00,Category-120,Product-4156,Business-5feb,Location-03fc,6,2180.0,January 2024,
2024-01-01 17:10:00,Category-120,Product-29ee,Business-84bc,Location-03fc,7,2120.0,January 2024,
2024-01-01 17:10:00,Category-106,Product-c14c,Business-84bc,Location-03fc,2,1329.0,January 2024,
2024-01-01 17:16:00,Category-76,Product-38f7,Business-32f2,Location-689f,2,3680.0,January 2024,
2024-01-01 17:33:00,Category-102,Product-9165,Business-b3f8,Location-d32a,2,240.0,January 2024,
2024-01-01 17:33:00,Category-82,Product-91f3,Business-b3f8,Location-d32a,1,818.0,January 2024,
2024-01-01 17:33:00,Category-100,Product-30cd,Business-b3f8,Location-d32a,1,1535.0,January 2024,
2024-01-01 17:40:00,Category-76,Product-113e,Business-6137,Location-e951,2,7950.0,January 2024,
2024-01-01 17:40:00,Category-85,Product-6859,Business-6137,Location-e951,3,885.0,January 2024,
2024-01-01 17:40:00,Category-74,Product-0031,Business-6137,Location-e951,1,1746.0,January 2024,
2024-01-01 17:47:00,Category-75,Product-2175,Business-fe7d,Location-689f,20,4365.0,January 2024,
2024-01-01 17:55:00,Category-75,Product-086d,Business-ae94,Location-f37d,11,2185.0,January 2024,
2024-01-01 18:12:00,Category-100,Product-db04,Business-80b3,Location-f37d,5,2105.0,January 2024,
2024-01-01 18:19:00,Category-75,Product-1609,Business-2e05,Location-f7fa,5,4350.0,January 2024,
2024-01-01 18:19:00,Category-101,Product-fd67,Business-2e05,Location-f7fa,10,1770.0,January 2024,
2024-01-01 18:19:00,Category-100,Product-b9c9,Business-2e05,Location-f7fa,10,2170.0,January 2024,
2024-01-01 18:19:00,Category-75,Product-6aa1,Business-2e05,Location-f7fa,10,2199.0,January 2024,
2024-01-01 18:21:00,Category-100,Product-7944,Business-2ab1,Location-4ea1,1,2101.0,January 2024,
2024-01-01 18:32:00,Category-85,Product-2b58,Business-274a,Location-f21b,2,1330.0,January 2024,
2024-01-01 18:32:00,Category-77,Product-a021,Business-a2ef,Location-1c33,10,2870.0,January 2024,
2024-01-01 18:35:00,Category-75,Product-6aa1,Business-61e9,Location-f7fa,15,2199.0,January 2024,
2024-01-01 18:39:00,Category-76,Product-e805,Business-998c,Location-4ea1,2,7580.0,January 2024,
2024-01-01 18:50:00,Category-76,Product-e805,Business-0d61,Location-1ba8,1,7580.0,January 2024,
2024-01-01 18:50:00,Category-77,Product-d09c,Business-0d61,Location-1ba8,3,2980.0,January 2024,
2024-01-01 19:05:00,Category-100,Product-30cd,Business-6f4d,Location-689f,17,1535.0,January 2024,
2024-01-01 19:05:00,Category-100,Product-3d03,Business-0b84,Location-0451,2,2176.0,January 2024,
2024-01-01 19:06:00,Category-76,Product-a418,Business-abb8,Location-0451,2,4050.0,January 2024,
2024-01-01 19:07:00,Category-76,Product-e805,Business-f3f6,Location-f37d,4,7580.0,January 2024,
2024-01-01 19:08:00,Category-100,Product-dc0f,Business-2590,Location-0451,1,2150.0,January 2024,
2024-01-01 19:08:00,Category-75,Product-744d,Business-2590,Location-0451,2,2235.0,January 2024,
2024-01-01 19:08:00,Category-100,Product-e729,Business-2590,Location-0451,3,2120.0,January 2024,
2024-01-01 19:08:00,Category-100,Product-3d03,Business-95a5,Location-0451,60,2176.0,January 2024,
2024-01-01 19:11:00,Category-100,Product-dc0f,Business-6bf6,Location-1ea3,5,2150.0,January 2024,
2024-01-01 19:13:00,Category-76,Product-db6e,Business-bd6d,Location-1ea3,2,8000.0,January 2024,
2024-01-01 19:17:00,Category-100,Product-3d03,Business-9bb3,Location-1ea3,3,2176.0,January 2024,
2024-01-01 19:17:00,Category-106,Product-45e3,Business-9bb3,Location-1ea3,2,465.0,January 2024,
2024-01-01 19:19:00,Category-76,Product-db6e,Business-4d69,Location-1ea3,1,8000.0,January 2024,
2024-01-01 19:24:00,Category-120,Product-29ee,Business-2b21,Location-b125,8,2120.0,January 2024,
2024-01-01 19:39:00,Category-110,Product-ec39,Business-9ab5,Location-1ba8,1,290.0,January 2024,
2024-01-01 20:20:00,Category-83,Product-3300,Business-cf4b,Location-b125,4,2667.0,January 2024,
2024-01-01 20:20:00,Category-120,Product-29ee,Business-cf4b,Location-b125,16,2120.0,January 2024,
2024-01-01 20:21:00,Category-120,Product-29ee,Business-22e2,Location-b125,20,2120.0,January 2024,
2024-01-01 20:21:00,Category-120,Product-7493,Business-22e2,Location-b125,5,2140.0,January 2024,
2024-01-01 20:21:00,Category-120,Product-dfdf,Business-22e2,Location-b125,5,2120.0,January 2024,
2024-01-01 20:22:00,Category-100,Product-94a8,Business-b299,Location-d1a8,2,2200.0,January 2024,
2024-01-01 20:22:00,Category-77,Product-a021,Business-b299,Location-d1a8,2,2870.0,January 2024,
2024-01-01 20:22:00,Category-101,Product-fd67,Business-b299,Location-d1a8,1,1770.0,January 2024,
2024-01-01 20:23:00,Category-91,Product-0c55,Business-20fc,Location-b125,5,3660.0,January 2024,
2024-01-01 20:40:00,Category-75,Product-2175,Business-912c,Location-e2f8,5,4365.0,January 2024,
2024-01-01 20:40:00,Category-76,Product-e805,Business-912c,Location-e2f8,3,7580.0,January 2024,
2024-01-01 20:49:00,Category-100,Product-cc50,Business-9528,Location-f37d,5,4550.0,January 2024,
2024-01-01 21:10:00,Category-106,Product-b576,Business-a43d,Location-3e32,5,1276.0,January 2024,
2024-01-01 21:11:00,Category-119,Product-e98d,Business-a68c,Location-689f,4,1770.0,January 2024,
