Business,Total_Quantity,Transaction_Frequency,Total_Value,Segment,Segment_Label
Business-0000,8,8,10445.0,0,Low Value
Business-0005,1,1,2645.0,0,Low Value
Business-0029,26,6,18385.0,0,Low Value
Business-003d,98,31,73251.0,0,Low Value
Business-0072,127,101,194501.0,0,Low Value
Business-0078,317,254,882264.0,1,Medium Value
Business-007a,2,2,4010.0,0,Low Value
Business-0086,6,6,11200.0,0,Low Value
Business-00a2,9,7,17645.0,0,Low Value
Business-00a7,5,1,1885.0,0,Low Value
Business-00ac,10,10,22210.0,0,Low Value
Business-00b7,2,2,2900.0,0,Low Value
Business-00e7,29,7,18331.0,0,Low Value
Business-00f8,16,10,25891.0,0,Low Value
Business-00fa,180,11,20445.0,0,Low Value
Business-0105,41,27,50335.0,0,Low Value
Business-0109,279,63,169557.0,0,Low Value
Business-010c,22,13,34180.0,0,Low Value
Business-0113,1,1,1890.0,0,Low Value
Business-013f,136,66,168735.0,0,Low Value
Business-0143,6,2,5370.0,0,Low Value
Business-0145,4,1,90.0,0,Low Value
Business-0162,8,6,9065.0,0,Low Value
Business-016c,492,431,856286.0,1,Medium Value
Business-0172,2,2,4390.0,0,Low Value
Business-0183,10,2,3800.0,0,Low Value
Business-0192,8,6,3380.0,0,Low Value
Business-0197,10,9,20450.0,0,Low Value
Business-019e,4,3,8785.0,0,Low Value
Business-01a0,5,5,8005.0,0,Low Value
Business-01d3,7,6,22234.0,0,Low Value
Business-01de,179,147,346895.0,0,Low Value
Business-01e4,11,9,15290.0,0,Low Value
Business-0204,161,157,277435.0,0,Low Value
Business-0215,166,51,129322.0,0,Low Value
Business-0225,10,1,2185.0,0,Low Value
Business-0240,17,13,19385.0,0,Low Value
Business-0259,239,47,102510.0,0,Low Value
Business-0264,24,9,18470.0,0,Low Value
Business-0279,1,1,1930.0,0,Low Value
Business-0285,5,4,11940.0,0,Low Value
Business-0287,130,110,329033.0,0,Low Value
Business-0292,1,1,2450.0,0,Low Value
Business-029c,5,3,12670.0,0,Low Value
Business-02a5,7,6,13940.0,0,Low Value
Business-02ac,1,1,2040.0,0,Low Value
Business-02b8,16,14,34700.0,0,Low Value
Business-02c1,1,1,860.0,0,Low Value
Business-02e6,1,1,1540.0,0,Low Value
Business-02f9,5,3,18550.0,0,Low Value
Business-0305,24,21,44530.0,0,Low Value
Business-0308,3,3,15660.0,0,Low Value
Business-0309,241,40,94337.0,0,Low Value
Business-031e,31,11,29925.0,0,Low Value
Business-0325,8,7,10107.0,0,Low Value
Business-0335,11,8,17890.0,0,Low Value
Business-0343,73,48,115435.0,0,Low Value
Business-0348,2,2,9915.0,0,Low Value
Business-0354,312,135,296691.0,0,Low Value
Business-0357,130,39,79035.0,0,Low Value
Business-036d,1,1,2105.0,0,Low Value
Business-0384,321,130,267258.0,0,Low Value
Business-0399,2,2,4070.0,0,Low Value
Business-03a3,197,163,455985.0,0,Low Value
Business-03ac,89,83,155277.0,0,Low Value
Business-03b2,10,7,19146.0,0,Low Value
Business-03bc,1,1,1530.0,0,Low Value
Business-03e1,207,201,425768.0,0,Low Value
Business-03e7,48,17,35468.0,0,Low Value
Business-03fa,14,13,31785.0,0,Low Value
Business-040a,30,15,29305.0,0,Low Value
Business-040f,36,36,70239.0,0,Low Value
Business-0434,1,1,2070.0,0,Low Value
Business-0437,173,26,65511.0,0,Low Value
Business-044c,58,56,80512.0,0,Low Value
Business-045b,228,177,374541.0,0,Low Value
Business-0463,9,3,7330.0,0,Low Value
Business-046d,367,335,779184.0,1,Medium Value
Business-046f,2,2,2565.0,0,Low Value
Business-0470,46,36,90945.0,0,Low Value
Business-0471,7,5,18156.0,0,Low Value
Business-0476,9,9,15470.0,0,Low Value
Business-047d,2,2,9920.0,0,Low Value
Business-048c,214,88,170855.0,0,Low Value
Business-04ad,77,66,121240.0,0,Low Value
Business-04ae,2,2,5385.0,0,Low Value
Business-04b4,6,5,20165.0,0,Low Value
Business-04b6,111,76,190301.0,0,Low Value
Business-04ca,5,1,1715.0,0,Low Value
Business-04d8,4,4,8025.0,0,Low Value
Business-04e4,10,2,2145.0,0,Low Value
Business-04e5,297,145,378715.0,0,Low Value
Business-04f3,6,6,18913.0,0,Low Value
Business-04fc,6,6,10555.0,0,Low Value
Business-0508,2,2,6265.0,0,Low Value
Business-051b,40,2,6695.0,0,Low Value
Business-0523,1305,540,1305398.0,1,Medium Value
Business-053b,61,54,72916.0,0,Low Value
Business-054d,1,1,2245.0,0,Low Value
Business-0569,12,12,20440.0,0,Low Value
Business-0570,14,12,14205.0,0,Low Value
Business-059a,1,1,1890.0,0,Low Value
Business-059f,17,5,14470.0,0,Low Value
Business-05a3,15,11,37730.0,0,Low Value
Business-05c6,49,28,34540.0,0,Low Value
Business-05d3,679,144,358419.0,0,Low Value
Business-05dc,8,8,11220.0,0,Low Value
Business-05e0,6,6,4770.0,0,Low Value
Business-05e5,97,78,162890.0,0,Low Value
Business-05ff,60,10,21725.0,0,Low Value
Business-0600,2,2,6385.0,0,Low Value
Business-0610,179,117,235742.0,0,Low Value
Business-0616,2,1,4870.0,0,Low Value
Business-0630,1,1,2755.0,0,Low Value
Business-0654,75,11,17353.0,0,Low Value
Business-065e,30,16,21335.0,0,Low Value
Business-067e,7,7,9635.0,0,Low Value
