,DATE,QUANTITY,VALUE
18,2024-01-01 15:30:00,158,17190.0
40,2024-01-01 16:09:00,31,32002.0
46,2024-01-01 16:19:00,43,38635.0
53,2024-01-01 16:26:00,14,31465.0
82,2024-01-01 17:16:00,25,44175.0
113,2024-01-01 18:06:00,19,32378.0
123,2024-01-01 18:22:00,21,50828.0
143,2024-01-01 18:50:00,20,30902.0
147,2024-01-01 18:59:00,22,32813.0
155,2024-01-01 19:08:00,67,10880.0
158,2024-01-01 19:11:00,35,45575.0
169,2024-01-01 19:28:00,67,21996.0
208,2024-01-01 20:20:00,53,19539.0
219,2024-01-01 20:40:00,28,30965.0
250,2024-01-01 21:54:00,26,36589.0
330,2024-01-02 14:21:00,29,39240.0
337,2024-01-02 14:29:00,20,34086.0
380,2024-01-02 15:45:00,80,5956.0
440,2024-01-02 17:39:00,14,37631.0
455,2024-01-02 18:04:00,40,45375.0
477,2024-01-02 18:54:00,64,31045.0
486,2024-01-02 19:12:00,46,21600.0
488,2024-01-02 19:14:00,46,32808.0
507,2024-01-02 19:34:00,21,35125.0
519,2024-01-02 19:51:00,94,20736.0
531,2024-01-02 20:09:00,54,23200.0
559,2024-01-02 20:51:00,135,6445.0
579,2024-01-02 21:30:00,43,22320.0
586,2024-01-02 21:43:00,45,13500.0
666,2024-01-03 14:36:00,16,34315.0
768,2024-01-03 18:36:00,20,34607.0
775,2024-01-03 18:47:00,18,43067.0
803,2024-01-03 19:26:00,45,10295.0
832,2024-01-03 20:08:00,37,35000.0
837,2024-01-03 20:13:00,34,35410.0
843,2024-01-03 20:20:00,50,15020.0
847,2024-01-03 20:25:00,51,29427.0
867,2024-01-03 20:52:00,50,7350.0
897,2024-01-03 21:38:00,57,12160.0
929,2024-01-04 09:14:00,50,5075.0
944,2024-01-04 13:32:00,52,5250.0
1073,2024-01-04 17:51:00,20,35081.0
1086,2024-01-04 18:07:00,65,30745.0
1133,2024-01-04 19:12:00,18,40765.0
1162,2024-01-04 19:51:00,64,10385.0
1223,2024-01-04 21:20:00,54,7130.0
1225,2024-01-04 21:22:00,45,21490.0
1229,2024-01-04 21:26:00,56,20111.0
1248,2024-01-04 22:05:00,44,15943.0
1249,2024-01-04 22:06:00,60,6420.0
1279,2024-01-05 11:25:00,60,14809.0
1374,2024-01-05 17:18:00,68,17989.0
1400,2024-01-05 18:13:00,16,43920.0
1401,2024-01-05 18:14:00,14,31465.0
1402,2024-01-05 18:15:00,6,33210.0
1403,2024-01-05 18:16:00,19,54915.0
1406,2024-01-05 18:19:00,14,37930.0
1428,2024-01-05 18:53:00,51,44050.0
1430,2024-01-05 18:57:00,43,43986.0
1455,2024-01-05 19:42:00,77,34614.0
1470,2024-01-05 20:01:00,50,7320.0
1488,2024-01-05 20:22:00,29,31034.0
1514,2024-01-05 21:16:00,44,23000.0
1537,2024-01-05 22:08:00,50,3510.0
1570,2024-01-06 20:20:00,100,2130.0
1633,2024-01-07 15:53:00,102,76455.0
1634,2024-01-07 15:55:00,20,33090.0
1647,2024-01-07 16:11:00,43,9886.0
1653,2024-01-07 16:19:00,50,8615.0
1674,2024-01-07 16:51:00,45,13910.0
1687,2024-01-07 17:08:00,17,35955.0
1694,2024-01-07 17:17:00,31,44284.0
1712,2024-01-07 17:49:00,13,32106.0
1716,2024-01-07 17:55:00,76,81803.0
1750,2024-01-07 18:49:00,33,41511.0
1751,2024-01-07 18:51:00,37,56104.0
1753,2024-01-07 18:53:00,16,43335.0
1754,2024-01-07 18:54:00,43,25100.0
1780,2024-01-07 19:27:00,50,61786.0
1804,2024-01-07 20:00:00,23,31045.0
1829,2024-01-07 20:26:00,71,29212.0
1832,2024-01-07 20:29:00,31,32046.0
1858,2024-01-07 21:03:00,139,18600.0
1882,2024-01-07 21:50:00,67,19361.0
1908,2024-01-08 06:56:00,29,37192.0
1940,2024-01-08 13:08:00,44,26610.0
1957,2024-01-08 13:41:00,29,53815.0
2003,2024-01-08 15:06:00,42,22054.0
2008,2024-01-08 15:11:00,47,27834.0
2021,2024-01-08 15:33:00,62,15991.0
2045,2024-01-08 16:26:00,87,21660.0
2093,2024-01-08 18:07:00,55,60858.0
2130,2024-01-08 19:32:00,44,20670.0
2135,2024-01-08 19:42:00,20,49858.0
2155,2024-01-08 20:19:00,55,9165.0
2157,2024-01-08 20:24:00,56,28846.0
2224,2024-01-08 23:25:00,55,11340.0
2238,2024-01-09 09:12:00,120,6455.0
2314,2024-01-09 14:49:00,46,14562.0
2335,2024-01-09 15:33:00,44,17550.0
2405,2024-01-09 18:04:00,50,2120.0
2451,2024-01-09 19:14:00,19,32612.0
2487,2024-01-09 20:06:00,27,46739.0
2531,2024-01-09 21:16:00,21,31550.0
2543,2024-01-09 21:38:00,49,20491.0
2559,2024-01-09 22:12:00,90,18568.0
2639,2024-01-10 15:05:00,28,46013.0
2693,2024-01-10 17:22:00,17,31125.0
2703,2024-01-10 17:45:00,60,14195.0
2717,2024-01-10 18:15:00,19,44412.0
2773,2024-01-10 19:57:00,13,32209.0
2802,2024-01-10 20:44:00,14,33103.0
2927,2024-01-11 15:35:00,50,4320.0
2934,2024-01-11 15:53:00,12,40438.0
2935,2024-01-11 15:54:00,11,41155.0
2936,2024-01-11 15:55:00,8,34305.0
2937,2024-01-11 15:56:00,9,47790.0
2938,2024-01-11 15:57:00,27,41922.0
2998,2024-01-11 17:55:00,44,16424.0
3044,2024-01-11 19:09:00,45,44724.0
